	SpeechIDdrop
0	CSPANJB9620195
1	CSPANJB22620199
2	CSPANJB37201911
3	CSPANJB147201915
4	CSPANJB98201918
5	CSPANJB108201919
6	CSPANJB69201921
7	CSPANJB79201922
8	CSPANJB1710201926
9	CSPANJB2211201931
10	CSPANJB112201932
11	CSPANJB262202052
12	CSPANJB23202056
13	CSPANJB256202074
14	CSPANJB79202087
15	CSPANJB109202089
16	CSPANJB229202097
17	CSPANJB2892020101
18	CSPANJB1102020102
19	CSPANJB2102020104
20	CSPANJB5102020105
21	CSPANJB19102020117
22	CSPANJB21102020118
23	CSPANJB23102020120
24	CSPANJB24102020121
25	CSPANJB25102020122
26	CSPANJB27102020125
27	CSPANJB28102020126
28	CSPANJB28102020128
29	CSPANJB29102020129
30	CSPANJB30102020131
31	CSPANJB30102020132
32	CSPANJB30102020133
33	CSPANJB31102020136
34	CSPANJB31102020137
35	CSPANJB31102020138
36	CSPANJB1112020140
37	CSPANJB2112020141
